Emotion Label,User Input,Bot Response,Context (Optional)
Neutral,"Hi, how are you doing?",I'm fine. How about yourself?,Start of conversation
Neutral,I'm fine. How about yourself?,"I'm pretty good, thanks for asking.",
Happy,"I'm pretty good, thanks for asking.",No problem. So how have you been?,
Neutral,No problem. So how have you been?,I've been great. What about you?,
Neutral,I've been great. What about you?,I've been good. I'm in school right now.,
Curious,I'm in school right now.,What school do you go to?,
Neutral,What school do you go to?,I go to PCC.,
Curious,I go to PCC.,Do you like it there?,
Neutral,Do you like it there?,It's okay. It's a really big campus.,
Supportive,It's okay. It's a really big campus.,Good luck with school.,
Happy,Good luck with school.,Thank you very much.,
Neutral,Thank you very much.,I'm doing well. How about you?,
Neutral,How's it going?,"Never better, thanks.",
Neutral,I'm doing well. How about you?,So how have you been lately?,
Neutral,"Never better, thanks.",I've actually been pretty good. You?,
Angry,I'm so frustrated right now!,What happened?,
Angry,I can't believe they ignored me again.,That must feel terrible.,
Angry,Why does no one listen to me?,It's really unfair.,
Angry,I'm done with this!,Take a deep breath.,
Angry,I'm not in the mood to talk.,"I understand, but I'm here if you need.",
Happy,I'm feeling great today!,That's awesome! What's making you happy?,
Happy,I just got a promotion!,Congratulations! You deserve it.,
Happy,Everything's going my way!,That's such a great feeling.,
Happy,I'm so excited for the weekend!,Any fun plans?,
Happy,I can't stop smiling!,Your happiness is contagious.,
Sad,I'm feeling really down.,I'm so sorry. What's going on?,
Sad,I don't know if I can handle this.,It sounds overwhelming.,
Sad,I've been better.,Do you want to talk about it?,
Sad,Everything seems so hard right now.,I'm here for you.,
Sad,I just need some space.,Take all the time you need.,
Surprise,You won't believe what just happened!,Tell me! What happened?,
Surprise,I never expected this!,Wow! That’s unexpected.,
Surprise,What?! I didn't see that coming!,Me neither! What a surprise.,
Surprise,How is this even possible?,I have no idea!,
Surprise,I can't believe my eyes!,"It’s unreal, right?",
Neutral,How are you today?,"I'm fine, how about you?",
Neutral,What's new with you?,"Not much, just the usual.",
Neutral,I saw a movie last night.,"Oh, how was it?",
Neutral,What did you do today?,"Nothing special, just work.",
Neutral,Do you have any plans for tomorrow?,"Not yet, maybe I’ll just relax.",
